"Timestamp","1.   Jakie studia ukończyłaś/-eś?","2. 	Czy określiłabyś/-łbyś kognitywistykę jako Twój podstawowy kierunek studiów? ","3. 	Czy ukończyłeś jeszcze inne kierunki studiów?","4.	W jakim ośrodku zakończyłaś/-eś studia licencjackie w zakresie kognitywistyki?","5.	W którym roku zakończyłaś/-eś studia?","6.	Które określenie najlepiej opisuje specjalizację zrealizowaną w obrębie Twoich studiów w zakresie kognitywistyki?","7.	Czy ukończyłeś również studia licencjackie w zakresie kognitywistyki?","9.	W którym roku zakończyłaś/-eś studia?","8	W jakim ośrodku zakończyłaś/-eś studia magisterskie w zakresie kognitywistyki?","10.	Które określenia najlepiej opisują specjalizację zrealizowaną w obrębie Twoich studiów w zakresie kognitywistyki?","11. 	Co uważasz za najmocniejszą stronę studiów z kognitywistyki?","12.  	Co uważasz za najsłabszą stronę studiów z kognitywistyki?","13.	Jak oceniasz w jakim stopniu studia na kognitywistyce przygotowały Cię do wejścia na rynek pracy?","14. 	Jak można lepiej przygotowywać studentów kognitywistyki do wejścia na rynek pracy?","15. Czy jesteś aktywna/-y zawodowo?","16. 	Jak oceniasz stopień trudności znalezienia pracy w Polsce ogólnie?","17.	Ile czasu potrzebowałaś/-eś by znaleźć pracę po ukończeniu studiów?","18.	W jaki sposób szukałaś/-eś pracy?","19.	Czy musiałaś/-eś zmienić miejsce zamieszkania po ukończeniu studiów wyłącznie po to żeby znaleźć pracę?","20. 	Czy musiałaś/-eś się doszkolić lub przekwalifikować żeby znaleźć zadowalającą pracę?","21.	Czy musiałaś/-eś się doszkolić by znaleźć pracę (rozwinąć kompetencje nabyte w trakcie studiów)? ","22.	Czy musiałaś/-eś się przekwalifikować (nabyć zupełnie nowe kompetencje)?","23.	Jaka jest Twoja obecna sytuacja zawodowa? ","24. 	 Jaki jest Twój ogólny staż pracy?","25. 	Jaki zawód obecnie wykonujesz?","26. 	Jaki zawód chciałabyś/-łbyś wykonywać?","27.	Czy wykonywana przez Ciebie praca jest zgodna z kierunkiem studiów?","28. 	Jaki jest Twój średni miesięczny dochód osobisty brutto z realizowanej pracy w złotych?","29. 	Jak bardzo jesteś zadowolona/-y ze swojej pracy?","30. 	Jak bardzo jesteś zadowolona/-y ze swoich zarobków?","31.  	Czy ponownie zdecydowałabyś/-byś się na ten kierunek studiów? ","32.	Jak często wykorzystujesz umiejętności nabyte w trakcie studiów w ramach swoich codziennych obowiązków w pracy?","33. 	Jak komentowano ukończony kierunek podczas rekrutacji do pracy?","34. 	Płeć","35. 	Wiek","36. 	Stan cywilny","37. 	Kraj zamieszkania","38. 	Wielkość miejsca zamieszkania"
"2020/05/08 7:53:30 AM GMT+2","Kognitywistyka (studia magisterskie)","Tak","Nie","","","","Tak","2018","Uniwersytet Warszawski","Biologiczne i przyrodnicze;Informatyczne;Psychologiczne i społeczne","Kognitywistyka jest prowadzona skrajnie inaczej, w zależności od wydziału, więc odpowiedź na to pytanie jest trudna. Wydaje mi się jednak, że (niezależnie od ośrodka) można tu mówić o pewnej interdyscyplinarności kierunku, co daje młodym ludziom (na poziomie studiów licencjackich) pewien pogląd na faktyczny zakres tematów/kompetencji, które mogą chcieć później rozwinąć.","Tutaj znowu mogłabym wymienić różne rzeczy, w zależności od uczelni. Globalnie, wydaje mi się, że ta interdyscyplinarność, która była zaletą przy studiach licencjackich staje się wadą w przypadku studiów magisterskich. Student ma szereg umiejętności bazowych, ale nie wiele jest w stanie rozwinąć w większym stopniu dzięki samym studiom. No i nie wszystkie uczelnie mają w programie statystykę, a to wstyd i hańba, bo nie widzę możliwej ścieżki kariery (związanej z kognitywistyką), w której ta okazałaby się całkowicie zbędna.","3","1. Wspomniana już statystyka; 2. Więcej zajęć praktycznych, polegających na zasadzie stażu, który jednak odbywałby się w potencjalnych, przyszłych miejscach pracy (Centra Badawcze, Firmy marketingowe, Działy IT). To się da załatwić. Jeśli student MUSI wypracować 60 godzin i da mu się to miejsce pracy, to też dowie się niezwykle ważnej rzeczy, tj. Co właściwie można robić po tych studiach. Mam niestety wrażenie, że nie wszyscy (a nawet większość osób) nie ma pojęcia, co może po nich robić.","Tak","3","Pracowałam/-em już w trakcie studiów","Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm);Początkowo płynnie przeszłam od wykonywania obowiązkowego stażu w PAN, do pracy w tym miejscu. Potem miejsce pracy zmieniłam (z rekomendacji osób, które w PANie poznałam).","Nie","Nie","","","","","","","","","3","4","4","5","3","Kobieta","23 - 25","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 8:16:36 AM GMT+2","Kognitywistyka (studia licencjackie)","Nie","Psychologia","Uniwersytet Jagiellonski","2018","Humanistyczne;Informatyczne;Psychologiczne i społeczne","","","","","Bardzo szeroki zakres roznorodnych kursow, wiele dziedzin","Kursy bardzo ogolne, wprowadzajace","4","Więcej współpracy z firmami - projekty dla firm, ścisłej określone ścieżki specjalizacyjne (np. Naukowa, ux, marketing itd) z zestawem kursów praktycznych i zaawansowanych","Tak","4","Pracowałam/-em już w trakcie studiów","Branżowe strony internetowe i społeczności internetowe z ogłoszeniami o pracę (np.: nofluffjobs.pl);Social Media (np.: LinkedIn, Facebook);Biuro Karier;Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Nie","Nie","","","","","","","","","3","5","4","3","5","Kobieta","26 - 30","Związek partnerski","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 8:24:43 AM GMT+2","Kognitywistyka (studia licencjackie)","Tak","","Uniwersytet Warszawski","2019","Informatyczne;Matematyczne;Filozoficzne","","","","","Interdyscyplinarność","Brak jednej ścieżki, w której wykształca w 100%","2","Wskazując możliwe ścieżki rozwoju","Tak","2","Pracowałam/-em już w trakcie studiów","Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Nie","Nie","","","","","","","","","2","1","4","3","4","Kobieta","19 - 22","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 8:31:57 AM GMT+2","Kognitywistyka (studia magisterskie)","Tak","Podyplomowe: e-marketing","","","","Nie","2016","Uniwersytet im. Adama Mickiewicza w Poznaniu","Humanistyczne;Informatyczne;Psychologiczne i społeczne","Interdyscyplinarność","Filozofia","3","Staże","Tak","4","Pracowałam/-em już w trakcie studiów","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Social Media (np.: LinkedIn, Facebook);Targi Pracy","Nie","Nie","","","","","","","","","5","5","5","3","5","Kobieta","26 - 30","Związek partnerski","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 9:25:22 AM GMT+2","Kognitywistyka (studia magisterskie)","Tak","","","","","Tak","2017","Uniwersytet Mikołaja Kopernika w Toruniu","Biologiczne i przyrodnicze","To wymaga obszerniejszej wypowiedzi. W skrócie kognitywistyka oferuje szerokie spektrum wiedzy z różnych nauk. Daje to studentom dość szybką możliwość rozpoznania swoich słabości i mocnych stron.","Zbyt mało przemyślany program studiów. Rozumiem, że część z tego wynika z braków kadrowych/sprzętowych. Niemniej uważam, że program mógłby być bardziej spójny ku końcowi okresu edukacji.","3","Nieco większy nacisk na praktyczne zastosowanie wiedzy i narzędzi nabytej na studiach.","Tak","4","Pracowałam/-em już w trakcie studiów","Zostałem doktorantem pracującym w projektach naukowych.","Tak","Nie","","","","","","","","","5","4","3","3","4","Mężczyzna","26 - 30","Związek partnerski","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 9:27:16 AM GMT+2","Kognitywistyka (studia licencjackie)","Tak","","UJ","2014","Humanistyczne","","","","","Interdyscyplinarnosc","Informatyka","1","Przygotowywac warsztaty na ktorych rzeczywiscie cos sie robi","Tak","5","Pracowałam/-em już w trakcie studiów","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl)","Nie","Nie","","","","","","","","","5","4","2","1","3","Kobieta","26 - 30","Związek partnerski","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 9:33:49 AM GMT+2","Kognitywistyka (studia magisterskie)","Tak","","","","","Nie","2018","Uniwersytet im. Adama Mickiewicza w Poznaniu","Informatyczne","multidyscyplinarność","","4","","Tak","3","Pracowałam/-em już w trakcie studiów","program stażowy na wydziale","Nie","Tak","Tak, poprzez kurs online (wliczając webinary);Tak, poprzez książki i inne materiały","Tak, poprzez kurs stacjonarny","Pracująca/-y","1-2 lata","tester oprogramowania","tester oprogramowania","Tak","3400","4","4","5","2","3","Kobieta","26 - 30","Zamężna, Żonaty","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 9:39:48 AM GMT+2","Kognitywistyka (studia licencjackie)","Tak","","Uniwersytet Jagielloński w Krakowie","2019","Biologiczne i przyrodnicze;Humanistyczne;Psychologiczne i społeczne","","","","","Wielowymiarowość - szeroki wachlarz kursow z roznych dziedzin","Wielowymarowość - na niczym sie tak na prawde nie da skupic na poziomie studiow licencjackich","4","Umiejetnosci miekkie - analiza danych, prezentacje, programowanie, podejscie ekonomiczne? ","Tak","3","Pracowałam/-em już w trakcie studiów","Strona internetowa pracodawcy","Tak","Nie","","","","","","","","","5","4","5","5","5","Kobieta","23 - 25","Panna, Kawaler","Francja","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 10:04:24 AM GMT+2","Kognitywistyka (studia licencjackie)","Tak","Nie","Uniwersytet Jagielloński","2014","Psychologiczne i społeczne","","","","","Różnorodność zagadnień i dyscyplin","","4","","Tak","5","Pracowałam/-em już w trakcie studiów","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Social Media (np.: LinkedIn, Facebook);Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Nie","Nie","","","","","","","","","5","4","5","5","3","Mężczyzna","26 - 30","Związek partnerski","Polska","Miasto do 500 tys. mieszkańców"
"2020/05/08 10:21:51 AM GMT+2","Kognitywistyka (studia magisterskie)","Tak","","","","","Tak","2018","Uniwersytet Jagielloński w Krakowie","Informatyczne;Psychologiczne i społeczne","multidyscyplinarny charakter - wprowadzenie do wielu ciekawych dziedzin ","również multidyscyplinarny charakter - brak odpowiedniego nakierowania  przez prowadzących na tej najważniejsze aspekty niezbędne w pracy naukowej  ;)","3","kursy, które miałyby za zadanie zaznajomić studentów z potencjalnymi ścieżkami zawodowymi jakie mogą obrać i dobieranie kursów pod wybrane zainteresowania ","Tak","3","2-3 miesiące","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Branżowe strony internetowe i społeczności internetowe z ogłoszeniami o pracę (np.: nofluffjobs.pl);Social Media (np.: LinkedIn, Facebook);Strona internetowa pracodawcy","Nie","Tak","Tak, poprzez kurs online (wliczając webinary);Tak, poprzez książki i inne materiały","Tak, poprzez kurs online (wliczając webinary);Tak, poprzez książki i inne materiały","Pracująca/-y","1-2 lata","software developer ","obecny  ;)) ","Nie","8000","5","5","4","4","5","Kobieta","23 - 25","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 10:27:49 AM GMT+2","Kognitywistyka (studia licencjackie)","Tak","Matematykę","Uniwersytet Warszawski","2019","Humanistyczne;Informatyczne;Matematyczne;Psychologiczne i społeczne","","","","","Różnorodność tematów + to, że bardzo się zgadzają z moimi całożyciowy i zainteresowaniami","Nagły przeskok poziomu trudności ze studiów licencjackich na magisterskie","3","Robić spotkania z absolwentami kognitywistyki, na których opowiedzą o swojej ścieżce zawodowej. ","Tak","3","Pracowałam/-em już w trakcie studiów","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl)","Nie","Nie","","","","","","","","","5","3","5","3","5","Kobieta","26 - 30","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 10:55:30 AM GMT+2","Kognitywistyka (studia magisterskie)","Nie","Psychologia","","","","Nie","2019","Uniwersytet Warszawski","Biologiczne i przyrodnicze;Filozoficzne, poznawcze","Obszar tematyczny, praktyczne zastosowania","Organizacja","3","Dobrze ich nauczyć metod obrazowania i prowadzenia badań","Tak","4","Pracowałam/-em już w trakcie studiów","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Social Media (np.: LinkedIn, Facebook);Strona internetowa pracodawcy;Strony i portale z ogłoszeniami","Nie","Nie","","","","","","","","","5","4","5","2","3","Kobieta","26 - 30","Związek partnerski","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 11:08:58 AM GMT+2","Kognitywistyka (studia magisterskie)","Tak","Nie","","","","Tak","2017","Uniwersytet Marii Curie-Skłodowskiej w Lublinie","Informatyczne;Psychologiczne i społeczne;Zarządzanie i marketing","Multidyscyplinarność","Nacisk na teorię i przedmioty filozoficzne","3","Zwiększają ilość zajęć praktycznych","Tak","3","Pracowałam/-em już w trakcie studiów","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Branżowe strony internetowe i społeczności internetowe z ogłoszeniami o pracę (np.: nofluffjobs.pl);Social Media (np.: LinkedIn, Facebook);Strona internetowa pracodawcy","Tak","Nie","","","","","","","","","4","4","5","3","4","Kobieta","26 - 30","Związek partnerski","Polska","Miasto do 500 tys. mieszkańców"
"2020/05/08 11:23:21 AM GMT+2","Kognitywistyka (studia licencjackie)","Nie","Psychologia","Uniwersytet Warszawski","2020","Informatyczne;Matematyczne;Psychologiczne i społeczne","","","","","Naukę programowania","Zajęcia z filozofii","3","Wprowadzać więcej zajęć dotyczących umiejętności ""twardych""","Tak","3","Pracowałam/-em już w trakcie studiów","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Social Media (np.: LinkedIn, Facebook);Strona internetowa pracodawcy;Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Nie","Nie","","","","","","","","","4","5","3","3","3","Kobieta","23 - 25","Panna, Kawaler","Polska","Miasto do 20 tys. mieszkańców"
"2020/05/08 11:48:57 AM GMT+2","Kognitywistyka (studia magisterskie)","Tak","","","","","Nie","2019","Uniwersytet im. Adama Mickiewicza w Poznaniu","Biologiczne i przyrodnicze;Filologiczne;Humanistyczne;Informatyczne;Psychologiczne i społeczne;Językoznawstwo, UX, Badania społeczne, Antropologia, Analityka danych różnego typu, Logika","Multidyscyplinarność - możliwość","Samodzielna konieczność udowadniania, że te studia nie są o wszystkim i o niczym","3","Warsztaty i laboratoria przygotowujące do zawodów","Tak","3","2-3 miesiące","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Branżowe strony internetowe i społeczności internetowe z ogłoszeniami o pracę (np.: nofluffjobs.pl);Social Media (np.: LinkedIn, Facebook);Biuro Karier;Targi Pracy","Nie","Nie","","","","","","","","","5","4","5","4","5","Kobieta","23 - 25","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 11:57:57 AM GMT+2","Kognitywistyka (studia licencjackie)","Tak","Kończę socjologię II stopnia ","Uniwersytet w Białymstoku","2018","Filozoficzne-społeczne","","","","","Rozwój kompetencji miękkich ","Brak ukierunkowania i przedstawienia perspektyw po kierunku","2","Pokazać alternatywy, ukierunkować w jedna konkretna strona, a nie 5 srok za ogon po trochu, wysłać na praktyki, których na uwb nie było, ","Tak","4","Pracowałam/-em już w trakcie studiów","Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Nie","Nie","","","","","","","","","4","4","2","2","4","Kobieta","23 - 25","Panna, Kawaler","Polska","Miasto do 500 tys. mieszkańców"
"2020/05/08 12:05:40 PM GMT+2","Kognitywistyka (studia licencjackie)","Tak","Kończę socjologię II stopnia ","Uniwersytet w Białymstoku","2018","Filozoficzne-społeczne","","","","","Rozwój kompetencji miękkich ","Brak ukierunkowania i przedstawienia perspektyw po kierunku","2","Pokazać alternatywy, ukierunkować w jedna konkretna strona, a nie 5 srok za ogon po trochu, wysłać na praktyki, których na uwb nie było, ","Tak","4","Pracowałam/-em już w trakcie studiów","Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Nie","Nie","","","","","","","","","4","4","2","2","4","Kobieta","23 - 25","Panna, Kawaler","Polska","Miasto do 500 tys. mieszkańców"
"2020/05/08 12:31:27 PM GMT+2","Kognitywistyka (studia magisterskie)","Tak","Analiza i przetwarzanie danych, wmi, uam","","","","Tak","2019","Uniwersytet im. Adama Mickiewicza w Poznaniu","Biologiczne i przyrodnicze;Humanistyczne;Informatyczne;Matematyczne;Psychologiczne i społeczne;Zarządzanie i marketing","Multidyscyplinarnosc, zwracanie uwagi na rzetelne badania ","Nie mam","5","Więcej laboratoriów praktycznych","Tak","3","Pracowałam/-em już w trakcie studiów","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Social Media (np.: LinkedIn, Facebook);Strona internetowa pracodawcy;Biuro Karier;Targi Pracy","Nie","Tak","Tak, poprzez inne studia;Tak, poprzez kurs online (wliczając webinary)","Nie","Pracująca/-y","1-2 lata","IT, analiza danych ","","Tak","4500","5","4","5","5","5","Kobieta","23 - 25","Związek partnerski","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 12:32:29 PM GMT+2","Kognitywistyka (studia magisterskie)","Tak","","","","","Nie","2019","Uniwersytet im. Adama Mickiewicza w Poznaniu","Biologiczne i przyrodnicze;Filologiczne;Humanistyczne;Informatyczne;Matematyczne;Psychologiczne i społeczne;Logiczne","Interdyscyplinarnosc - laczenie wiedzy z roznych dziedzin","Interdyscyplinarnosc - powierzchownosc posiadanej wiedzy","4","Wiecej fakultetow z umiejetnosciami potrzebnymi na rynku pracy","Tak","2","Pracowałam/-em już w trakcie studiów","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Branżowe strony internetowe i społeczności internetowe z ogłoszeniami o pracę (np.: nofluffjobs.pl)","Nie","Tak","Tak, poprzez kurs online (wliczając webinary);Tak, poprzez książki i inne materiały","Tak, poprzez kurs online (wliczając webinary);Tak, poprzez książki i inne materiały","Pracująca/-y","1-2 lata","Design researcher","Psychoterapeuta","Tak","3500","4","4","5","4","5","Kobieta","23 - 25","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 12:52:23 PM GMT+2","Kognitywistyka (studia magisterskie)","Tak","","","","","Tak","2013","Uniwersytet im. Adama Mickiewicza w Poznaniu","Matematyczne;Psychologiczne i społeczne","Wszechstronnosc","Wszechstronność i mała specjalizacje","1","Więcej laboratoriów ","Tak","3","2-3 miesiące","Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Nie","Tak","Tak, poprzez studia podyplomowe;Tak, poprzez kurs stacjonarny","Tak, poprzez studia podyplomowe;Tak, poprzez kurs stacjonarny","Pracująca/-y","5-8 lat","Referent ds. Zamówień publicznych","Nauczyciel ","Nie","3900","4","5","2","1","3","Kobieta","26 - 30","Związek partnerski","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 1:21:59 PM GMT+2","Kognitywistyka (studia magisterskie)","Tak","","","","","Nie","2019","Uniwersytet im. Adama Mickiewicza w Poznaniu","Biologiczne i przyrodnicze;Filologiczne;Humanistyczne;Informatyczne;Psychologiczne i społeczne","Multidyscyplinarność","Interdyscyplinarność","4","laboratoria/dodatkowe warsztaty z umiejętności zawodowych ","Tak","3","2-3 miesiące","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Branżowe strony internetowe i społeczności internetowe z ogłoszeniami o pracę (np.: nofluffjobs.pl);Social Media (np.: LinkedIn, Facebook);Targi Pracy","Nie","Nie","","","Pracująca/-y","4-6 miesięcy","Specjalista ds. marketingu","j.w.","Tak","3300","4","4","5","4","5","Kobieta","23 - 25","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 1:23:00 PM GMT+2","Kognitywistyka (studia magisterskie)","Tak","","","","","Nie","2015","Uniwersytet im. Adama Mickiewicza w Poznaniu","Biologiczne i przyrodnicze;Humanistyczne;Informatyczne;Psychologiczne i społeczne","Interdyscyplinarność","Interdyscyplinarność rozumianą jako bezmyślne wrzucanie wszystkiego, co się chociaż trochę nada do programu, przez to jest więcej zapchajdziur niż konkretnych tematów","3","Pokazanie innych możliwości kongnitywistyki niż tylko czysto akademickich. Staże i praktyki, współprace biznesowe.","Tak","4","0-1 miesiąc","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Social Media (np.: LinkedIn, Facebook)","Nie","Nie","","","Pracująca/-y","5-8 lat","QA Engineer","QA Engineer","Nie","8300","5","4","5","4","5","Kobieta","26 - 30","Zamężna, Żonaty","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 1:28:55 PM GMT+2","Kognitywistyka (studia licencjackie)","Tak","","Uniwersytet Śląski w Katowicach","","Biologiczne i przyrodnicze;Filologiczne;Psychologiczne i społeczne","","","","","","","1","","Nie","","","","","","","","","","","","","","","","","","","Kobieta","19 - 22","Panna, Kawaler","","Miasto do 20 tys. mieszkańców"
"2020/05/08 1:53:56 PM GMT+2","Kognitywistyka (studia magisterskie)","Tak","","","","","Tak","2019","Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie","Biologiczne i przyrodnicze;Informatyczne;Psychologiczne i społeczne;Zarządzanie i marketing;Filozoficzne","Interdyscyplinarność","Mało praktyki","3","Konkretniejsze ścieżki rozwoju, specjalizacje ","Tak","1","7-9 miesięcy","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Social Media (np.: LinkedIn, Facebook);Strona internetowa pracodawcy;Targi Pracy;Urząd Pracy;Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Tak","Tak","Tak, poprzez kurs stacjonarny;Tak, poprzez kurs online (wliczając webinary);Tak, poprzez książki i inne materiały","Tak, poprzez kurs online (wliczając webinary)","Stażysta","0-3 miesiące","Stażysta w agencji reklamowej ","Social Media Specialist","Nie","1100","4","2","2","2","4","Kobieta","23 - 25","Panna, Kawaler","Polska","Miasto do 20 tys. mieszkańców"
"2020/05/08 2:44:01 PM GMT+2","Kognitywistyka (studia licencjackie)","Tak","Nie","Uniwersytet Warszawski","2016","Psychologiczne i społeczne;Filozoficzne","","","","","Wszechstronność i zakres zagadnień związany z procesami poznawczymu","Brak możliwości kontynuacji ścieżki filozficznej na studiach magisterskich","4","Więcej zajęć praktycznych na 3-cim roku w ramach fakultetów związanych z możliwymi ścieżkami zawodowymi","Tak","4","2-3 miesiące","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Branżowe strony internetowe i społeczności internetowe z ogłoszeniami o pracę (np.: nofluffjobs.pl);Strona internetowa pracodawcy","Nie","Tak","Tak, poprzez kurs online (wliczając webinary);Tak, poprzez książki i inne materiały","Tak, poprzez książki i inne materiały","Pracująca/-y","3-5 lat","UX Designer","Communication Designer / Product Designer / Domestic Designer / Dancer","Tak","10000","4","4","5","4","3","Kobieta","26 - 30","Zamężna, Żonaty","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 2:57:37 PM GMT+2","Kognitywistyka (studia licencjackie)","Tak","Turystyka i rekreacja, Neurobiologia","Uniwersytet Marii Curie-Skłodowskiej w Lublinie","2015","Biologiczne i przyrodnicze;Informatyczne;Psychologiczne i społeczne","","","","","Studia poszerzaj pogląd w sumie na wszystko. Uczą jak myśleć.","Przez swoja interdyscyplinarność kogni sprawia, że wiesz trochę ze wszystkiego, ale nie masz jakiejś konkretnej specjalizacji. Przez co ciężko odnaleźć się na rynku pracy. ","2","Nie wiem, czy same studia mogą mieć na to wpływ. Rynek pracy wciąż nie wie kim są ludzie po kognitywistyce i co można z nimi zrobić. Więc ich pojęcia o korzyściach płynących z zatrudnienia osoby po kogni, po prostu nie istnieje.","Tak","1","4-6 miesięcy","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Branżowe strony internetowe i społeczności internetowe z ogłoszeniami o pracę (np.: nofluffjobs.pl);Social Media (np.: LinkedIn, Facebook);Strona internetowa pracodawcy;Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Tak","Tak","Tak, poprzez bootcamp (programistyczny, UX-owy, dowolny);Tak, poprzez kurs online (wliczając webinary);Tak, poprzez książki i inne materiały","Tak, poprzez bootcamp (programistyczny, UX-owy, dowolny);Tak, poprzez kurs stacjonarny;Tak, poprzez książki i inne materiały","Pracująca/-y","3-5 lat","Web content Specialist","UX Researcher","Nie","3500","3","2","3","4","3","Kobieta","26 - 30","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 3:01:07 PM GMT+2","Kognitywistyka (studia magisterskie)","Tak","podyplomowe: grafika projektowa","","","","Tak","2013","Uniwersytet im. Adama Mickiewicza w Poznaniu","Informatyczne;Psychologiczne i społeczne","multidyscyplinarność","","4","","Tak","5","0-1 miesiąc","Branżowe strony internetowe i społeczności internetowe z ogłoszeniami o pracę (np.: nofluffjobs.pl);Strona internetowa pracodawcy","Nie","Tak","Tak, poprzez studia podyplomowe;Tak, poprzez kurs online (wliczając webinary);Tak, poprzez książki i inne materiały","Nie","Pracująca/-y","5-8 lat","frontend developer","","Tak","15000","4","5","4","3","3","Kobieta","26 - 30","Rozwiedziona, Rozwiedziony","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 3:15:33 PM GMT+2","Kognitywistyka (studia magisterskie)","Tak","","","","","Nie","2018","Uniwersytet im. Adama Mickiewicza w Poznaniu","Biologiczne i przyrodnicze;Humanistyczne;Informatyczne;Matematyczne;Psychologiczne i społeczne","To, że jest interdyscyplinarna. Możliwość poznania metodologii i logiki, data science, ux. ","Za dużo języków programowania - wszystkie podstawowo omawiane. ","4","","Tak","3","Pracowałam/-em już w trakcie studiów","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Branżowe strony internetowe i społeczności internetowe z ogłoszeniami o pracę (np.: nofluffjobs.pl);Social Media (np.: LinkedIn, Facebook)","Nie","Nie","","","Pracująca/-y","1-2 lata","Jestem badaczką marketingową ","Pozostać w zawodzie lub przekwalifikować się na ux researchera ","Tak","4130","5","3","4","5","5","Kobieta","23 - 25","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 3:24:22 PM GMT+2","Kognitywistyka (studia magisterskie)","Tak","","","","","Nie","2019","Uniwersytet im. Adama Mickiewicza w Poznaniu","Biologiczne i przyrodnicze;Humanistyczne;Informatyczne;Psychologiczne i społeczne","interdyscyplinarność","też interdyscyplinarność - ogromne obszary, wiele możliwości i kierunków rozwoju","3","specjalizacje","Tak","4","Pracowałam/-em już w trakcie studiów","od praktyk do etatu","Nie","Tak","Nie","Nie","Pracująca/-y","3-5 lat","E-learning/VR/Motion - Designer","UX Designer/ ML & AI Specialist/ Artist :)","Tak","3250","4","3","5","3","5","Mężczyzna","23 - 25","Związek partnerski","Polska","Wieś"
"2020/05/08 3:30:55 PM GMT+2","Kognitywistyka (studia licencjackie)","Nie","psychologia","Uniwersytet Jagielloński w Krakowie","2016","Psychologiczne i społeczne","","","","","","","2","","Tak","2","0-1 miesiąc","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl)","Tak","Tak","Tak, poprzez inne studia","Tak, poprzez inne studia","Doktorantka/-","3-5 lat","phd student","","Tak","","3","5","5","2","3","Kobieta","23 - 25","Panna, Kawaler","",""
